Company Name,Industry,Symbol,Series,ISIN Code,Percentage Change,Market Cap
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,0.1313354813541556,2218914.63311
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,-1.812771028359028,4572876.7783125
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,-2.3942935751586902,4039961.2825505
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,-1.126033311371788,1530536.64399
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,-2.399109763175866,2289065.453
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,-2.4623512818436333,3924441.6363375
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,0.0969329704109345,397346.6
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,-3.583502366463831,2028232.6402195
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,-1.21438675884723,3565700.0
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,-2.8452813400097865,22158423.6472425
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,-4.571290066126011,29946181.41916
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,-4.605869045337574,16353993.54666
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,-5.522177708827803,23643717.164334
Adani Transmission Ltd.,Power,ADANITRANS,EQ,INE931S01010,-4.945559617949691,26045152.4805645
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,-2.734377939486832,2601138.053804
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,-2.8853647772323243,2834363.1154440003
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,-1.0977749125911096,1537488.0
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES,EQ,INE837H01020,0.1631070014449065,315389.704175
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,-0.8735930902936118,721480.5
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,-2.9991352616346445,1679029.98153
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,-1.9795795425018747,1566946.455275
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,-0.9292400568742808,1457712.127584
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,-0.7629809650956276,4329089.955
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,-0.2407678041167149,1459931.4337185
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,-2.512863487652073,880572.758016
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,-3.956042279253946,1258688.4416535
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032,-2.204801567858894,916238.25
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,-2.268201823994753,1187114.3774575
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,-1.963511497745496,5942043.3477825
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,-3.150211674689729,1273331.410335
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,-2.1331848734561176,826485.4433825
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,-2.2053701981827545,6493458.894777
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,-2.1722464260584773,1213042.80686
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,-4.729839545646097,1692254.5725225
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,-1.9087708988486,1047717.60261
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,-2.062743066054029,3441905.73111
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,-0.2095820591233477,29542812.333105
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,-4.239766081871343,986538.2935
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,-2.871048947371879,637962.5
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,-2.589568139498122,4064514.8015395
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,-1.9668154625732013,3045262.0177005
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,-0.7529131126361777,3917292.5704695
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,-2.753994770405288,561808.855305
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,-0.9387026970678836,25932688.0921485
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,-3.1159294909793966,23364339.2779745
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,-3.2296806152222635,1338781.55956
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,-0.2788233701430442,1276928.89104
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,-1.4863665488733302,10570577.2406
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025,-0.9186706295595816,1233904.220263
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,-3.650766316514553,43953859.601183504
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01018,-3.0743132732075407,27149564.064898
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,-2.8344180577691835,5576973.432855
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,1.521676457459864,941411.055
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,-2.887651192791696,4129641.81278
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,-2.664649550329845,998571.76
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,-0.9593859555124596,4951472.200764
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,-3.209876543209877,5771240.191764
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,-3.5347760342005707,1881485.043095
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,-2.515720931616272,1123992.906649
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,-3.092035170455898,2520939.16956
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,-1.7575383605952122,2040000.0
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,-0.0753693068434313,6796350.452533
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018,-1.9316953286362737,1006763.90625
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,0.5479438119827318,5136337.923844
Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025,-3.574265289912626,3261913.955792
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,-2.561359631431026,1718398.2656925
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,-1.9734963938527688,7795209.735564
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,-2.1996214866048525,41462059.859766
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,-1.839938338514402,4029213.6
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,-4.447575355456024,910357.212234
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,0.6883259680550147,1271567.425059
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,-0.9099777496221816,1628270.150915
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,-0.5692043207574771,1013270.258704
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,-2.5998266304357087,600596.5152
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022,1.2432744810397134,756386.5063975
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,-2.124789438565056,4258439.2114
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,-2.0913715981903613,1190112.4703455
Brightcom Group Ltd.,Information Technology,BCG,BE,INE425B01027,-4.141099807697124,1711750.4341020002
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,-1.375833130747206,7723201.042944
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,-0.1370018083987845,804341.5024689999
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,0.5242097659641454,537033.71304
CESC Ltd.,Power,CESC,EQ,INE486A01021,0.2562420761336392,1005445.171155
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,-2.8772807207667617,2561066.6184405
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,-2.26934814930746,2406502.5103075
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,-1.7772230546972745,366315.3237105
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,-1.9707499721128616,840801.7223125
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,-4.426309141109009,4131681.64893
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,-0.1122838515298263,514000.157032
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026,-1.041585057403993,1080623.74636
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,-0.1313895613125004,1514548.3426825
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,-1.7399666268369751,998519.046648
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,-3.120863015564368,377055.532578
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,-3.498544576184348,1592952.385772
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,-2.474883615154111,1546965.75
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,-2.557263397617715,1591425.12737
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016,-5.055672892429797,954551.28128
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,-0.5551092366742449,646710.5817130001
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,0.5638788030011055,619889.6528040001
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,0.7955936352509241,1756813.3432920002
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,-3.704432716402673,1051665.831461
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,-0.2563007261853878,1161283.658466
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,-2.7139560544911845,5898440.5963445
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,-1.178539684374802,8213770.293498
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,-3.2827247025772666,953324.952857
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,-2.8196623847832947,2116306.55904
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,-2.237269894145244,11280874.2025735
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01017,-0.9530049335583212,386991.82738
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,-2.606405778554433,2714758.0004
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,-1.3071050498691283,4194698.440365
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,-2.029485812880505,1132531.009995
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,-2.996784228915339,4095371.960082
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,-1.4812732966366204,2346797.286364
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,-3.673356990750421,1324396.341962
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,-4.381370670681184,2368938.28666
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,-1.4150677482439369,3108243.6
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,-0.9330593140625454,1023138.5181375
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,3.378215449430555,1762303.887096
DLF Ltd.,Realty,DLF,EQ,INE271C01023,-1.9310307411398493,9417336.054462
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,-1.5874616867789235,9479246.461846
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,-4.080860319842783,2802285.873388
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,-1.6268647005790449,3060318.8574375
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033,-3.4904014426346386,882083.484366
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,-4.272669876951252,2108737.471195
Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010,-3.80047157271185,374706.7160035
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012,-3.0316886119142183,352524.295081
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,-2.30098768414031,11686059.62589
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,-4.638650954479429,2556925.29528
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,-0.1029006964450851,2175884.703839
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,-0.8766634930051587,7148739.130870501
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,-2.998975209106325,802585.3323625
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,-2.0958105717362896,967125.707463
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020,-1.5030419007209694,611636.218864
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001018,-2.1166296754048908,740524.32
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054,-1.869158878504673,553597.037955
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,-1.381244432072981,6718415.750793001
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,-8.028019609736726,885919.1542280001
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,-2.626030805051893,1987643.18841
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,0.9552208086294643,1539976.8599039998
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,-0.7537701125437946,359988.1399065
Equitas Holdings Ltd.,Financial Services,EQUITAS,EQ,INE988K01017,-0.4549590473684084,364006.472475
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018,1.2149561231381334,639786.131705
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,-0.7345321305389674,936151.266739
Escorts Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,-1.547573179666406,2279850.259211
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,-2.0457676911748046,1284350.0
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022,-1.292928059895837,434010.725964
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,-3.461024015578296,8010238.932458
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,-4.1345095106672725,2048805.950406
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,-3.0795538298809544,847017.213966
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026,-4.14099622061822,1228131.328644
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,1.7731546656336583,577575.4363925
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,0.4636299353939277,959567.5335825
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012,0.0,871587.0279130001
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,-0.8674126602944865,2192398.461792
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022,-2.942683955269243,1483064.379885
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,-0.9293023253929557,6911459.6027125
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,0.2515813627159913,665907.52125
GMR Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039,-3.898048865187565,2230281.7791125
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018,-1.3876040703052706,1015565.916288
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ,INE276A01018,-1.054063243794623,581793.1837575
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,-1.7105236388089362,1997384.4
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,0.0361895531364453,5377053.0642595
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,-0.2402496375643936,2823829.180746
Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024,-0.9623123128792545,562154.665136
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,-2.7881040892193343,1247183.24952
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011,0.8984118140131558,546300.87316
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,0.8818532962228565,524930.61632
